sample_id	sample_present	seq_lab_id	genome_fraction_20x	enough_coverage	freyja_demix_status	freyja_num_variants	freyja_num_unique_freqs	sample_status
20230724NY031021733A	ok	suny_upstate	1.4210854715202004e-16	no	NA	NA	NA	low_coverage
20230410NY029022543A	ok	suny_buffalo	0.9550881182490052	yes	ok	46	43	ok
20230523NY029028410A	ok	suny_buffalo	0.9500384576798316	yes	ok	69	67	ok
20230711NY071031518A	ok	nymc	0.9514095575694748	yes	ok	37	36	ok
20230803NY055021610A	ok	u_of_rochester	0.9112129217804232	yes	ok	43	43	ok
20230328NY103065358A	ok	wadsworth	0.006855499448216	no	NA	NA	NA	low_coverage
20230718NY103079324A	ok	wadsworth	0.8974350399625456	yes	solver_warning	35	34	ok
20230726NY029028436A	ok	suny_buffalo	0.9566264254422632	yes	ok	29	28	ok
20230823NY027026271A	ok	nymc	0.962177707922282	yes	ok	66	66	ok
20230831NY033030376A	ok	suny_upstate	0.961241347022038	yes	ok	21	21	ok
20230309NY023027561A	ok	suny_upstate	0.893656154900846	yes	ok	17	15	ok
20230613NY089020818A	ok	suny_upstate	0.3291308564358091	no	NA	NA	NA	low_coverage
20230305NY119108324A	ok	nymc	0.9682640537738688	yes	ok	35	33	ok
20230427NY097271942A	ok	u_of_rochester	1.4210854715202004e-16	no	NA	NA	NA	low_coverage
20230430NY067027081A	ok	suny_upstate	0.0013376584289203	no	NA	NA	NA	low_coverage
20230223NY115183695A	ok	wadsworth	0.9790322041266762	yes	ok	77	77	ok
20230720NY059026999A	ok	wadsworth	0.4055111527271512	no	NA	NA	NA	low_coverage
20230427NY077031151A	ok	wadsworth	0	no	NA	NA	NA	low_coverage
20230303NY045025984A	ok	suny_upstate	0.976490653111728	yes	ok	61	61	ok
20230725NY029026395C	ok	suny_buffalo	0.8180115707454101	yes	solver_warning	28	23	ok
20230720NY115183695A	ok	wadsworth	0.1372437548072096	no	NA	NA	NA	low_coverage
20230523NY093020516A	ok	wadsworth	5.35063371568e-4	no	NA	NA	NA	low_coverage
20230108NY067030317A	ok	suny_upstate	0.6912349931445005	yes	solver_warning	20	19	ok
20230206NY113029050A	ok	wadsworth	0.9600374544360096	yes	ok	53	53	ok
